position,municipality_name,registrations,share_of_total,cumulative_share
151,Lozoya,79,2.5360642786357772e-5,0.9997001665776903
152,Valverde de Alcalá,74,2.375553881253766e-5,0.999723922116503
153,Brea de Tajo,70,2.247145563348157e-5,0.9997463935721365
154,Villavieja del Lozoya,68,2.1829414043953525e-5,0.9997682229861804
155,Olmeda de las Fuentes,67,2.1508393249189503e-5,0.9997897313794295
156,Garganta de los Montes,59,1.8940226891077322e-5,0.9998086716063206
157,Ambite,58,1.86192060963133e-5,0.999827290812417
158,Gargantilla del Lozoya y Pinilla de Buitrago,58,1.86192060963133e-5,0.9998459100185133
159,Canencia,48,1.5408998148673075e-5,0.999861319016662
160,Montejo de la Sierra,47,1.5087977353909055e-5,0.9998764069940158
161,Alameda del Valle,43,1.3803894174852964e-5,0.9998902108881907
162,Braojos,38,1.2198790201032852e-5,0.9999024096783917
163,El Atazar,31,9.951644637684695e-6,0.9999123613230294
164,Horcajo de la Sierra-Aoslos,30,9.630623842920674e-6,0.9999219919468724
165,Pinilla del Valle,26,8.346540663864583e-6,0.9999303384875362
166,Cervera de Buitrago,25,8.025519869100561e-6,0.9999383640074053
167,Piñuécar-Gandullas,25,8.025519869100561e-6,0.9999463895272744
168,Gascones,22,7.062457484808493e-6,0.9999534519847592
169,Berzosa del Lozoya,21,6.741436690044471e-6,0.9999601934214493
170,Navarredonda y San Mamés,19,6.099395100516426e-6,0.9999662928165498
171,La Serna del Monte,19,6.099395100516426e-6,0.9999723922116502
172,Puebla de la Sierra,15,4.815311921460337e-6,0.9999772075235718
173,Robledillo de la Jara,15,4.815311921460337e-6,0.9999820228354932
174,Somosierra,15,4.815311921460337e-6,0.9999868381474146
175,Prádena del Rincón,10,3.2102079476402243e-6,0.9999900483553623
176,Robregordo,10,3.2102079476402243e-6,0.9999932585633099
177,Horcajuelo de la Sierra,9,2.889187152876202e-6,0.9999961477504629
178,La Acebeda,6,1.9261247685841344e-6,0.9999980738752314
179,Madarcos,6,1.9261247685841344e-6,1
